gene	BF.misA	BF.misB	BF.pLoF	BF.total	qval	pval	oe_lof_upper	oe_lof_upper_bin	dn.misA	dn.misB	dn.pLoF	case.pLoF	ctrl.pLoF
PTPN11	2.68558e+18	67018.7	0.0828265	1.49075e+22	0	1.30446e-07	0.135	0	13	6	0	0	0
CHD7	2324.59	2.78996	1.48346e+16	9.62097e+19	0	1.30446e-07	0.076	0	3	1	13	0	1
KMT2D	1.19859	248.913	5.96298e+16	1.77902e+19	0	1.30446e-07	0.103	0	1	4	14	1	1
NSD1	2848.42	2.94803	7.58244e+07	6.36713e+11	1.66787e-11	1.30446e-07	0.095	0	3	1	7	0	1
CDK13	142641	790.172	13.8294	1.55873e+09	5.46373e-09	1.30446e-07	0.324	1	4	4	1	1	0
CHD4	5.19364e+07	0.784241	0.0423605	1.72537e+06	3.60913e-06	1.30446e-07	0.156	0	6	0	0	0	0
NOTCH1	0.155457	11.1671	718432	1.24721e+06	7.41519e-06	1.30446e-07	0.097	0	0	2	4	6	0
GATA6	374.361	0.94405	725.108	256264	2.5006e-05	1.30446e-07	0.174	0	2	0	3	0	0
RBFOX2	16.4779	0.93887	10241.5	158443	4.9308e-05	1.30446e-07	0.194	0	1	0	3	1	0
KMT2A	0.186861	2.54421	30496.8	14498.6	0.00032785	5.21785e-07	0.065	0	0	1	5	0	0
ADNP	0.62813	0.890397	20909.2	11694.2	0.000581036	1.04357e-06	0.123	0	0	0	4	0	1
TAB2	0.744378	0.928679	13284.9	9183.69	0.000868398	1.56535e-06	0.098	0	0	0	4	0	0
SMAD2	384.184	0.94963	24.5656	8962.34	0.00112499	1.82625e-06	0.259	0	2	0	1	1	0
DYRK1A	14.273	0.907441	612.766	7936.46	0.00138742	2.08714e-06	0.214	0	1	0	3	0	0
PRKD1	301.886	19.4624	0.493544	2899.78	0.00215506	4.43517e-06	0.622	3	2	2	0	2	1
EP300	6.65645	3.02785	124.938	2518.08	0.00295697	4.95695e-06	0.099	0	1	1	2	1	0
RYR3	39.1846	2.11737	28.6251	2374.98	0.00372615	4.95695e-06	0.279	1	2	1	2	3	1
BRAF	7695.85	3.88294	0.0779613	2329.68	0.00443519	4.95695e-06	0.209	0	3	1	0	0	0
SMAD6	0.788772	0.942185	2472.69	1837.62	0.00529988	6.7832e-06	1.975	9	0	0	1	8	0
FLT4	0.405057	0.799871	5465.88	1770.91	0.00612374	6.7832e-06	0.147	0	0	0	2	8	1
FRYL	0.291419	0.739093	6064.74	1306.26	0.00722683	8.87034e-06	0.272	1	0	0	3	5	1
ARID1B	6.90463	0.766506	224.997	1190.78	0.00836087	9.39212e-06	0.102	0	1	0	3	0	0
MYH6	124.871	14.2078	0.667066	1183.47	0.00941241	9.39212e-06	0.856	4	2	2	1	1	2
DSCAML1	2324.2	13.4173	0.0342514	1068.11	0.0105215	1.01748e-05	0.165	0	3	2	0	0	0
KDM5B	0.496743	0.840537	1757.21	733.691	0.0121588	1.87842e-05	0.572	2	0	0	4	2	4
NR2F2	17.456	0.951848	35.5354	590.435	0.0141215	2.47848e-05	0.217	0	1	0	2	0	0
