gene	BF_misA	BF_misB	BF_pLOF_denovo_cc	BF_total_denovo_cc	qval_denovo_cc	BF_pLOF_denovo_only	BF_total_denovo_only	qval_denovo_only	oe_lof_upper	oe_lof_upper_bin	mut.cls1	dn.cls1	mut.cls2	dn.cls2	mut.cls3	dn.cls3	case.cls3	ctrl.cls3	cds_length	category
SATB2	5.58E+06	0.955848	2.38E+08	1.27E+15	3.86E-14	1.58E+09	8.44E+15	5.77E-15	0.091	0	2.47E-06	5	3.71E-06	0	3.57E-06	7	0	0	2199	both
TFAP2A	10157.2	0.97773	870.004	8.64E+06	2.84E-06	320.566	3.18E+06	7.70E-06	0.261	0	1.23E-06	3	1.84E-06	0	1.89E-06	2	1	0	1311	both
CTNND1	0.768187	3.9838	2.47E+06	7.55E+06	4.06E-06	114341	349920	5.18E-05	0.185	0	3.52E-06	0	5.28E-06	1	4.61E-06	4	3	0	2904	both
COL2A1	14.0787	0.907387	1364.4	17430	0.00087648	179.409	2291.93	0.00452413	0.134	0	5.38E-06	1	8.07E-06	0	1.01E-05	2	2	0	4461	both
CHD7	0.509239	0.850096	22857.1	9894.88	0.00145522	56566.8	24487.9	0.000683815	0.076	0	9.10E-06	0	1.37E-05	0	1.37E-05	4	0	1	8991	both
IRF6	0.898285	139.004	43.2501	5400.44	0.00295113	15.9362	1989.87	0.00763693	0.132	0	1.43E-06	0	2.14E-06	3	2.32E-06	1	1	0	1401	both
TP63	17.4578	0.953373	298.938	4975.46	0.00363124	13.8632	230.736	0.0724301	0.267	0	2.62E-06	1	3.92E-06	0	4.37E-06	1	3	0	2040	both
ANKRD11	0.431943	0.817668	10906.8	3852.11	0.004443	72509.2	25609.2	0.000464953	0.107	0	1.14E-05	0	1.71E-05	0	1.05E-05	4	0	0	7989	both
ARHGAP29	0.784029	0.942601	2208.6	1632.22	0.00650154	12.0098	8.87554	0.68524	0.249	0	3.25E-06	0	4.87E-06	0	6.49E-06	1	6	1	3783	denovo_cc_only
MED13L	12.5579	3.68792	24.7701	1147.17	0.00915251	9.12692	422.691	0.0183116	0.064	0	6.86E-06	1	1.03E-05	1	1.06E-05	1	1	0	6630	both
CTCF	9069.6	0.95457	0.119188	1031.88	0.0117369	0.792373	6860.03	0.00148486	0.148	0	2.55E-06	3	3.82E-06	0	3.59E-06	0	0	0	2181	both
FGFR1	370.775	0.943783	1.99243	697.213	0.0153321	0.73414	256.899	0.047907	0.215	0	3.18E-06	2	4.77E-06	0	4.78E-06	0	1	0	2559	both
SOX5	17.8743	0.958579	38.1865	654.285	0.0187284	14.0704	241.081	0.0586911	0.188	0	2.32E-06	1	3.47E-06	0	4.15E-06	1	1	0	2289	both
EFTUD2	16.7601	0.944446	36.9933	585.567	0.0221689	245.935	3892.91	0.00270105	0.094	0	3.14E-06	1	4.71E-06	0	5.60E-06	2	0	0	2916	both
KAT6B	0.625581	0.892796	576.755	322.127	0.0282724	3834.32	2141.53	0.00614639	0.128	0	6.30E-06	0	9.44E-06	0	9.13E-06	3	0	0	6219	both
ARID1B	0.590315	0.880503	493.16	256.332	0.0352307	181.712	94.4493	0.113853	0.102	0	7.08E-06	0	1.06E-05	0	9.89E-06	2	1	0	6747	denovo_cc_only
MACF1	6.26752	0.756376	47.4231	224.814	0.0424169	2.19924	10.4257	0.666076	0.084	0	1.60E-05	1	2.40E-05	0	3.30E-05	1	3	0	16290	denovo_cc_only
SHH	19.5209	4.2084	2.53379	208.156	0.0494706	16.8449	1383.84	0.00968008	0.242	0	1.19E-06	1	1.79E-06	1	1.51E-06	1	0	0	1386	both
NEDD4L	369.621	4.01242	0.105587	156.594	0.0580553	0.701955	1041.05	0.0121995	0.198	0	3.21E-06	2	4.82E-06	1	5.49E-06	0	0	0	2925	both
MALRD1	0.751949	0.933142	146.085	102.504	0.069593	0.81723	0.573429	0.97844	0.854	4	3.81E-06	0	5.71E-06	0	3.11E-06	0	5	0	4458	denovo_cc_only
BRF1	17.2076	0.950202	5.94925	97.2742	0.0806511	0.782284	12.7909	0.623622	0.602	3	2.80E-06	1	4.20E-06	0	3.79E-06	0	2	0	2031	denovo_cc_only
ADNP	0.798534	0.946788	107.802	81.5028	0.0924439	266.789	201.703	0.0883073	0.123	0	3.00E-06	0	4.50E-06	0	4.46E-06	2	0	1	3306	both
HDAC2	432.166	0.976264	0.123943	52.2923	0.152267	0.823982	347.644	0.0248882	0.1	0	1.31E-06	2	1.97E-06	0	2.99E-06	0	0	0	1464	denovo_only
SIKE1	0.961361	0.99043	51.0227	48.5818	0.183419	339.204	322.976	0.0366531	0.703	3	5.23E-07	0	7.85E-07	0	1.11E-06	2	0	0	633	denovo_only
HNRNPK	0.884995	0.970677	43.6902	37.5319	0.271727	290.457	249.515	0.0534422	0.096	0	1.63E-06	0	2.44E-06	0	3.27E-06	2	0	0	1392	denovo_only
SF3B3	351.772	0.932926	0.109928	36.076	0.296925	0.618493	202.976	0.0844808	0.178	0	3.82E-06	2	5.73E-06	0	7.48E-06	0	0	2	3651	denovo_only
WDR26	0.865258	0.965376	42.6121	35.5939	0.302687	283.289	236.632	0.063598	0.085	0	1.93E-06	0	2.89E-06	0	3.62E-06	2	0	0	1983	denovo_only
GRHL2	0.857573	0.963288	40.6191	33.555	0.32884	270.04	223.077	0.0765711	0.27	1	2.05E-06	0	3.07E-06	0	4.29E-06	2	0	0	1875	denovo_only
FBXO11	17.8302	0.958033	1.96365	33.5429	0.333654	13.0545	222.997	0.0804074	0.097	0	2.35E-06	1	3.52E-06	0	5.25E-06	1	0	0	2781	denovo_only
MINK1	14.2238	0.909517	1.7145	22.1801	0.411789	11.3982	147.455	0.0936778	0.132	0	5.25E-06	1	7.87E-06	0	7.27E-06	1	0	0	3996	denovo_only
PTCH1	0.658401	0.903798	34.0045	20.2347	0.4302	226.065	134.523	0.0992687	0.075	0	5.60E-06	0	8.40E-06	0	6.79E-06	2	0	0	4341	denovo_only
