gene	BF_misA	BF_misB	BF_pLOF_denovo_cc	BF_total_denovo_cc	qval_denovo_cc	BF_pLOF_denovo_only	BF_total_denovo_only	qval_denovo_only	oe_lof_upper	oe_lof_upper_bin	mut.cls1	dn.cls1	mut.cls2	dn.cls2	mut.cls3	dn.cls3	case.cls3	ctrl.cls3	cds_length	category
PTPN11	2.69E+18	67018.7	0.0828265	1.49E+22	0	0.594291	1.07E+23	0	0.135	0	1.98E-06	13	3.07E-06	6	3.86E-06	0	0	0	1779	both
CHD7	2324.59	2.78996	1.48E+16	9.62E+19	0	5.02E+16	3.25E+20	0	0.076	0	9.10E-06	3	1.41E-05	1	1.36E-05	13	0	1	8991	both
KMT2D	1.19859	248.913	5.96E+16	1.78E+19	0	1.05E+17	3.12E+19	0	0.103	0	1.88E-05	1	2.92E-05	4	2.59E-05	14	1	1	16611	both
NSD1	2848.42	2.94803	7.58E+07	6.37E+11	1.67E-11	2.59E+08	2.18E+12	4.88E-12	0.095	0	7.90E-06	3	1.22E-05	1	1.16E-05	7	0	1	8088	both
CDK13	142641	790.172	13.8294	1.56E+09	5.46E-09	7.33132	8.26E+08	1.03E-08	0.324	1	3.57E-06	4	5.54E-06	4	6.60E-06	1	1	0	4536	both
CHD4	5.19E+07	0.784241	0.0423605	1.73E+06	3.61E-06	0.300615	1.22E+07	6.68E-07	0.156	0	6.44E-06	6	9.99E-06	0	9.06E-06	0	0	0	5736	both
GATA6	374.361	0.94405	725.108	256264	2.50E-05	5197.77	1.84E+06	3.47E-06	0.174	0	1.47E-06	2	2.28E-06	0	2.38E-06	3	0	0	1785	both
KMT2A	0.186861	2.54421	30496.8	14498.6	0.00032785	211215	100414	5.01E-05	0.065	0	1.12E-05	0	1.73E-05	1	1.74E-05	5	0	0	11916	both
RBFOX2	16.4779	0.93887	10241.5	158443	4.93E-05	5483.48	84833	9.51E-05	0.194	0	1.61E-06	1	2.50E-06	0	2.05E-06	3	1	0	1353	both
TAB2	0.744378	0.928679	13284.9	9183.69	0.000868398	95104.3	65744.5	0.000145166	0.098	0	1.90E-06	0	2.94E-06	0	3.30E-06	4	0	0	2079	both
DYRK1A	14.273	0.907441	612.766	7936.46	0.00138742	4385.01	56794.1	0.00019535	0.214	0	2.50E-06	1	3.88E-06	0	3.47E-06	3	0	0	2289	both
ADNP	0.62813	0.890397	20909.2	11694.2	0.000581036	72914.4	40780	0.000311645	0.123	0	3.00E-06	0	4.65E-06	0	4.93E-06	4	0	1	3306	both
NOTCH1	0.155457	11.1671	718432	1.25E+06	7.42E-06	14050.4	24391.6	0.000406768	0.097	0	1.25E-05	0	1.93E-05	2	1.56E-05	4	6	0	7665	both
KDM5B	0.496743	0.840537	1757.21	733.691	0.0121588	44384.4	18531.8	0.000524278	0.572	2	4.54E-06	0	7.04E-06	0	8.04E-06	4	2	4	4632	both
BRAF	7695.85	3.88294	0.0779613	2329.68	0.00443519	0.558541	16690.6	0.000642766	0.209	0	2.15E-06	3	3.33E-06	1	4.32E-06	0	0	0	2298	both
ARID1B	6.90463	0.766506	224.997	1190.78	0.00836087	1587.58	8402.19	0.000886512	0.102	0	7.08E-06	1	1.10E-05	0	1.01E-05	3	0	0	6747	both
DSCAML1	2324.2	13.4173	0.0342514	1068.11	0.0105215	0.242715	7568.96	0.00113358	0.165	0	9.11E-06	3	1.41E-05	2	1.08E-05	0	0	0	6339	both
MYH6	124.871	14.2078	0.667066	1183.47	0.00941241	3.9384	6987.29	0.00137903	0.856	4	8.09E-06	2	1.25E-05	2	1.12E-05	1	1	2	5817	both
SMAD2	384.184	0.94963	24.5656	8962.34	0.00112499	13.1457	4795.96	0.00173143	0.259	0	1.32E-06	2	2.04E-06	0	2.45E-06	1	1	0	1401	both
NR2F2	17.456	0.951848	35.5354	590.435	0.0141215	255.264	4241.32	0.00210346	0.217	0	1.26E-06	1	1.95E-06	0	2.41E-06	2	0	0	1242	both
PACS1	6448.65	0.88524	0.073632	420.336	0.0275182	0.526619	3006.26	0.00261779	0.185	0	3.15E-06	3	4.89E-06	0	4.76E-06	0	0	0	2889	both
FOXP1	15.3305	0.922919	29.0987	411.712	0.0294041	208.489	2949.87	0.0031002	0.175	0	2.06E-06	1	3.19E-06	0	3.77E-06	2	0	0	2037	both
PRKD1	301.886	19.4624	0.493544	2899.78	0.00215506	0.492413	2893.14	0.00355499	0.622	3	2.74E-06	2	4.25E-06	2	5.28E-06	0	2	1	2736	both
