gene	BF.misA	BF.misB	BF.pLoF	BF.total	qval	pval	oe_lof_upper	oe_lof_upper_bin	dn.misA	dn.misB	dn.pLoF	case.pLoF	ctrl.pLoF
SATB2	5.57722e+06	0.955848	2.38065e+08	1.26912e+15	3.86358e-14	1.42955e-07	0.091	0	5	0	7	0	0
TFAP2A	10157.2	0.97773	870.004	8.63997e+06	2.83564e-06	1.42955e-07	0.261	0	3	0	2	1	0
CTNND1	0.768187	3.9838	2.46559e+06	7.54546e+06	4.05507e-06	1.42955e-07	0.185	0	0	1	4	3	0
GOLGA6L10	0.976836	0.994295	441793	429098	3.15863e-05	1.42955e-07	1.879	9	0	0	4	1	0
ENTPD2	0.890505	0.972142	24244.6	20988.5	0.000491104	1.42955e-07	1.471	7	0	0	4	0	2
COL2A1	14.0787	0.907387	1364.4	17430	0.00087648	1.42955e-07	0.134	0	1	0	2	2	0
CHD7	0.509239	0.850096	22857.1	9894.88	0.00145522	2.8591e-07	0.076	0	0	0	4	0	1
MUC3A	0.864164	0.96508	7900.46	6588.88	0.00219605	8.57731e-07	1.061	5	0	0	2	3	0
IRF6	0.898285	139.004	43.2501	5400.44	0.00295113	1.14364e-06	0.132	0	0	3	1	1	0
TP63	17.4578	0.953373	298.938	4975.46	0.00363124	1.14364e-06	0.267	0	1	0	1	3	0
ANKRD11	0.431943	0.817668	10906.8	3852.11	0.004443	2.00137e-06	0.107	0	0	0	4	0	0
ARHGAP29	0.784029	0.942601	2208.6	1632.22	0.00650154	5.4323e-06	0.249	0	0	0	1	6	1
MED13L	12.5579	3.68792	24.7701	1147.17	0.00915251	8.00549e-06	0.064	0	1	1	1	1	0
CTCF	9069.6	0.95457	0.119188	1031.88	0.0117369	8.00549e-06	0.148	0	3	0	0	0	0
FGFR1	370.775	0.943783	1.99243	697.213	0.0153321	1.31519e-05	0.215	0	2	0	0	1	0
SOX5	17.8743	0.958579	38.1865	654.285	0.0187284	1.48673e-05	0.188	0	1	0	1	1	0
EFTUD2	16.7601	0.944446	36.9933	585.567	0.0221689	1.80124e-05	0.094	0	1	0	2	0	0
KAT6B	0.625581	0.892796	576.755	322.127	0.0282724	3.54529e-05	0.128	0	0	0	3	0	0
ARID1B	0.590315	0.880503	493.16	256.332	0.0352307	5.14639e-05	0.102	0	0	0	2	1	0
MACF1	6.26752	0.756376	47.4231	224.814	0.0424169	5.86116e-05	0.084	0	1	0	1	3	0
SHH	19.5209	4.2084	2.53379	208.156	0.0494706	6.49016e-05	0.242	0	1	1	1	0	0
NEDD4L	369.621	4.01242	0.105587	156.594	0.0580553	8.06267e-05	0.198	0	2	1	0	0	0
MALRD1	0.751949	0.933142	146.085	102.504	0.069593	0.000174691	0.854	4	0	0	0	5	0
BRF1	17.2076	0.950202	5.94925	97.2742	0.0806511	0.000196134	0.602	3	1	0	0	2	0
ADNP	0.798534	0.946788	107.802	81.5028	0.0924439	0.000246455	0.123	0	0	0	2	0	1
CCNYL1	0.945171	4.25323	19.2799	77.5057	0.103786	0.000263038	0.494	2	0	1	0	3	0
ZFHX4	0.449077	0.825196	160.383	59.4341	0.116679	0.000323365	0.144	0	0	0	2	1	1
TMEM126B	0.956863	0.989298	61.6702	58.3784	0.128809	0.000326224	1.635	8	0	0	2	0	2
DAAM1	16.7423	4.0184	0.79659	53.5923	0.140837	0.000349668	0.261	0	1	1	0	2	2
HDAC2	432.166	0.976264	0.123943	52.2923	0.152267	0.000366537	0.1	0	2	0	0	0	0
METRN	20.3127	0.987409	2.57113	51.5691	0.163072	0.000377116	1.307	7	1	0	0	1	0
MAF	20.0767	0.984731	2.52419	49.9036	0.173459	0.000411139	0.537	2	1	0	0	1	0
SIKE1	0.961361	0.99043	51.0227	48.5818	0.183419	0.000436871	0.703	3	0	0	2	0	0
NFE2L3	0.888638	0.971647	53.0429	45.7995	0.193226	0.000526647	1.314	7	0	0	0	4	0
ZNF727	0.921074	0.980155	50.0562	45.1905	0.202569	0.000551235	1.785	9	0	0	1	1	0
GPR176	18.8669	0.97064	2.40037	43.958	0.211585	0.000604129	0.78	4	1	0	0	1	0
VEZF1	19.0783	0.973149	2.34334	43.5066	0.220182	0.00062643	0.24	0	1	0	0	1	0
POPDC3	0.942147	0.985568	46.4096	43.0937	0.22839	0.00065016	0.902	4	0	0	1	1	0
ERGIC3	19.3953	0.976873	2.25879	42.7968	0.23622	0.000668744	0.752	4	1	0	0	1	0
C14orf28	0.945894	0.986522	45.2069	42.1846	0.243749	0.000698479	1.51	8	0	0	1	1	0
WASF3	18.3531	0.964456	2.35775	41.734	0.250976	0.000723925	0.467	2	1	0	0	1	0
ZNF513	17.9267	0.959228	2.33431	40.1402	0.258088	0.000817989	0.413	1	1	0	0	1	0
HSPA5	18.4196	0.965264	2.25478	40.0896	0.264877	0.000822278	0.407	1	1	0	0	1	0
HNRNPK	0.884995	0.970677	43.6902	37.5319	0.271727	0.000960945	0.096	0	0	0	2	0	0
CORO1B	0.828515	0.955272	46.2782	36.6272	0.278405	0.00101841	0.779	4	0	0	1	2	1
CACNB2	17.6754	0.956104	2.16637	36.6104	0.284795	0.0010187	0.692	3	1	0	0	1	0
